City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arkhangel'sk,64.5401,40.5433,13.06,100,100,2.0,RU,1722314019
1,villa gesell,-37.2639,-56.973,3.36,81,36,5.27,AR,1722314020
2,susuman,62.7833,148.1667,21.54,36,42,6.93,RU,1722314021
3,cooma,-36.2333,149.1333,7.69,54,6,3.74,AU,1722314023
4,adamstown,-25.066,-130.1015,21.46,88,0,6.59,PN,1722314024
5,porbandar,21.6422,69.6093,27.99,89,100,4.63,IN,1722314025
6,motygino,58.1831,94.7592,21.19,87,100,1.57,RU,1722314026
7,bethel,41.3712,-73.414,21.46,93,20,0.0,US,1722314027
8,correntina,-13.3433,-44.6367,19.63,57,0,1.8,BR,1722314029
9,port-aux-francais,-49.35,70.2167,1.07,64,92,8.02,TF,1722314030
10,kapuskasing,49.4169,-82.4331,21.05,100,100,1.54,CA,1722314031
11,grytviken,-54.2811,-36.5092,-4.77,74,83,4.84,GS,1722314032
12,shchuchinsk,52.9333,70.2,20.14,51,52,5.36,KZ,1722314033
13,blackmans bay,-43.0167,147.3167,11.52,67,99,0.45,AU,1722314035
14,tazovsky,67.4667,78.7,18.3,90,100,6.6,RU,1722314036
15,albany,42.6001,-73.9662,20.51,92,76,1.22,US,1722314037
16,allen,41.0706,-85.0144,24.08,91,100,3.6,US,1722314038
17,puerto ayora,-0.7393,-90.3518,19.75,97,70,0.89,EC,1722314039
18,salinopolis,-0.6136,-47.3561,26.42,80,5,4.96,BR,1722314041
19,n'zeto,-7.2312,12.8666,19.43,89,64,3.02,AO,1722314042
20,madinat ash shamal,26.1293,51.2009,35.09,45,80,1.98,QA,1722314043
21,tiksi,71.6872,128.8694,3.38,96,100,3.93,RU,1722314044
22,edinburgh of the seven seas,-37.0676,-12.3116,14.0,90,95,10.28,SH,1722314046
23,roscrea,52.9511,-7.8017,13.06,93,35,1.13,IE,1722314047
24,mil'kovo,55.6078,37.7956,17.95,81,97,1.91,RU,1722314048
25,chom thong,18.4174,98.6743,28.14,66,100,1.97,TH,1722314049
26,rio grande,-32.035,-52.0986,3.3,71,14,2.95,BR,1722314052
27,waitangi,-43.9535,-176.5597,12.12,98,100,2.24,NZ,1722314053
28,mananara,-16.1667,49.7667,21.66,74,45,1.13,MG,1722314054
29,nadi,-17.8,177.4167,26.0,53,40,5.14,FJ,1722314045
30,chui,-33.6971,-53.4616,4.5,77,35,1.24,UY,1722314057
31,korla,41.7597,86.1469,37.52,16,0,3.91,CN,1722314058
32,chernyshevskiy,63.0128,112.4714,18.43,37,0,3.94,RU,1722314059
33,polyarnyy,69.1989,33.4478,10.38,88,100,6.71,RU,1722314060
34,san antonio oeste,-40.7319,-64.9477,8.35,40,100,9.67,AR,1722314061
35,jinxiang,27.4327,120.6062,30.1,78,33,4.49,CN,1722314063
36,nantucket,41.2835,-70.0995,22.27,88,100,5.66,US,1722314064
37,thompson,55.7435,-97.8558,19.09,88,75,0.0,CA,1722314065
38,bodo,67.28,14.405,12.19,100,0,1.54,NO,1722314066
39,brookings,44.3114,-96.7984,26.0,84,0,5.14,US,1722313990
40,ta`u,-14.2336,-169.5144,25.01,63,87,12.38,AS,1722314069
41,misawa,40.6836,141.3597,28.11,59,2,5.98,JP,1722314070
42,west island,-12.1568,96.8225,28.99,74,20,8.75,CC,1722314071
43,revuca,48.6835,20.1173,11.48,67,3,2.02,SK,1722314072
44,hammerfest,70.6634,23.6821,10.25,100,75,3.09,NO,1722314074
45,wailua homesteads,22.0669,-159.378,23.19,89,100,3.6,US,1722314075
46,laojunmiao,39.8333,97.7333,30.21,13,17,10.36,CN,1722314076
47,soure,-0.7167,-48.5233,26.36,81,18,4.67,BR,1722314077
48,jiuquan,39.7432,98.5174,35.42,11,62,7.37,CN,1722314078
49,olonkinbyen,70.9221,-8.7187,5.02,96,68,9.35,SJ,1722314080
50,ushuaia,-54.8,-68.3,0.81,86,100,8.23,AR,1722314081
51,coquimbo,-29.9533,-71.3436,10.85,100,100,2.06,CL,1722314082
52,severo-yeniseyskiy,60.3725,93.0408,16.69,97,100,1.62,RU,1722314083
53,kingston,17.997,-76.7936,29.53,79,20,2.57,JM,1722314085
54,san patricio,28.017,-97.5169,29.38,83,2,6.1,US,1722314086
55,yellowknife,62.456,-114.3525,17.29,63,75,2.57,CA,1722314087
56,hawaiian paradise park,19.5933,-154.9731,25.41,78,100,0.89,US,1722314088
57,krasnoye-na-volge,57.5125,41.2419,15.55,95,100,3.06,RU,1722314090
58,jamestown,42.097,-79.2353,22.06,100,75,0.0,US,1722313944
59,port mathurin,-19.6833,63.4167,22.04,70,78,6.84,MU,1722314092
60,christchurch,-43.5333,172.6333,6.11,94,75,8.75,NZ,1722314094
61,peruibe,-24.32,-46.9983,16.5,95,100,3.22,BR,1722314095
62,taroa,8.7058,171.2275,28.15,78,99,8.68,MH,1722314097
63,leava,-14.3,-178.1667,26.25,59,13,10.11,WF,1722314098
64,brades,16.7918,-62.2106,27.78,74,1,8.0,MS,1722314099
65,lihue,21.9789,-159.3672,23.53,94,100,3.6,US,1722314100
66,baglung,28.2719,83.5898,28.87,70,54,2.4,NP,1722314102
67,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,94,75,5.0,RU,1722313819
68,nar'yan-mar,67.6713,53.087,16.21,65,99,5.21,RU,1722314104
69,urengoy,65.9667,78.3667,21.14,80,100,4.0,RU,1722314105
70,cabo san lucas,22.8909,-109.9124,32.61,68,0,5.34,MX,1722313775
71,richards bay,-28.783,32.0377,13.42,88,1,2.65,ZA,1722314107
72,puerto natales,-51.7236,-72.4875,1.68,95,98,1.11,CL,1722314109
73,ghormach,35.7306,63.7826,32.12,16,0,4.76,AF,1722314110
74,motueka,-41.1333,173.0167,10.61,94,100,3.34,NZ,1722314112
75,port macquarie,-31.4333,152.9167,16.61,63,50,3.58,AU,1722314113
76,cruzeiro do sul,-29.5128,-51.9853,10.29,93,94,1.67,BR,1722314115
77,touros,-5.1989,-35.4608,22.66,92,49,4.99,BR,1722314116
78,vadso,70.0744,29.7487,13.09,88,75,1.54,NO,1722314119
79,urangan,-25.3,152.9,16.85,59,0,9.41,AU,1722314120
80,yorkton,51.2167,-102.4677,20.91,78,0,3.6,CA,1722313976
81,kuala terengganu,5.3302,103.1408,30.97,79,20,1.54,MY,1722314123
82,whitehorse,60.7161,-135.0538,16.43,50,75,4.63,CA,1722314124
83,vila franca do campo,37.7167,-25.4333,22.23,93,20,1.46,PT,1722314125
84,iqaluit,63.7506,-68.5145,4.85,80,20,2.06,CA,1722314126
85,necochea,-38.5473,-58.7368,1.59,49,5,4.72,AR,1722314127
